step,lambda_raw,lambda_used,lambda_curvature,lambda_norm,grad_cosine,emotion_grad_norm,alignment_grad_norm,beta,directional_margin,constraint_active,feasible
0,0.5300256312613509,0.5300256312613509,28.206338146369404,0.5300256312613509,-0.007516404696149096,5.17673921585083,4.883480072021484,0.0,5.259011111694861,True,True
1,0.8695860298702981,0.5639816711222456,8.17922076888225,0.8695860298702981,-0.01646572409115867,8.721158981323242,5.0145463943481445,10000.0,14.805605316957099,True,True
2,0.7293304581019432,0.5805165498202154,10.488048600026875,0.7293304581019432,0.03136601232656239,6.713129997253418,4.602255344390869,10000.0,9.57578395119944,True,True
3,1.0,0.6224648948381939,12.9535569836538,1.0996122740443004,0.031403091754030193,7.714674472808838,3.507906675338745,10000.0,12.43223707735686,True,True
4,0.6003412750569522,0.6003412750569522,3.3334606121167334,0.6003412750569522,-0.03101361706740125,5.744676113128662,4.78450870513916,10000.0,6.088515831968536,True,True
5,1.0,0.640307147551257,9.183410711321455,1.1896356166204505,0.014603324537058282,12.546195030212402,5.273125171661377,10000.0,32.10001659839054,True,True
6,0.4452057056224677,0.4452057056224677,3.607170767885738,0.4452057056224677,0.032122000631430184,5.284622669219971,5.93503475189209,10000.0,6.033986709562427,True,True
7,0.9772947846455797,0.4984146135247789,5.819170440575128,0.9772947846455797,0.003714456378940974,8.443196296691895,4.319677352905273,10000.0,14.325034574251376,True,True
8,0.6793156077921286,0.5165047129515139,3.1491672354099403,0.6793156077921286,-0.02127224494757821,6.735856056213379,4.957825183868408,10000.0,8.707431162566536,True,True
9,0.7976708481728576,0.5446213264736482,2.913194645115215,0.7976708481728576,-0.048781649098469555,6.33706521987915,3.9722306728363037,10000.0,7.362913777111444,True,True
10,0.861934970593884,0.5763526908856718,4.068198940889674,0.861934970593884,-0.0032203700808429124,6.912213325500488,4.009706974029541,10000.0,9.504295896947369,True,True
11,0.6917709624848598,0.5878945180455906,3.724297430709319,0.6917709624848598,0.025433748894761538,6.312278747558594,4.562405109405518,10000.0,8.399588241528892,True,True
12,0.6952997530189035,0.5986350415429218,2.880721338569679,0.6952997530189035,-0.008519064100167057,6.974248886108398,5.015282154083252,10000.0,9.549649228186553,True,True
13,0.868415182102074,0.625613055598837,3.1818761905074333,0.868415182102074,-0.02197015265842263,8.089540481567383,4.6576457023620605,10000.0,12.570252992067395,True,True
14,0.9396240014295801,0.6570141501819112,2.7733397001457645,0.9396240014295801,-0.05361285725627436,8.108596801757812,4.314809322357178,10000.0,11.917470402741486,True,True
15,0.649226163333276,0.649226163333276,3.132223145861756,0.649226163333276,0.041323930946136345,6.123600959777832,4.716076850891113,10000.0,8.274490222031535,True,True
16,1.0,0.6843035469999483,3.8953873182333667,1.0465712579282551,0.001475930120187782,8.567916870117188,4.093327045440674,10000.0,14.717261343801496,True,True
