epoch,train_loss,lr,val_accuracy,val_macro_f1,val_weighted_f1,val_q1_precision,val_q1_recall,val_q1_f1,val_q1_support,val_q2_precision,val_q2_recall,val_q2_f1,val_q2_support,val_q3_precision,val_q3_recall,val_q3_f1,val_q3_support,val_q4_precision,val_q4_recall,val_q4_f1,val_q4_support,val_alignment_positive_cosine,val_alignment_negative_cosine,val_alignment_gap,val_retrieval_a2l_r1,val_retrieval_a2l_r5,val_retrieval_a2l_r10,val_retrieval_a2l_median_rank,val_retrieval_l2a_r1,val_retrieval_l2a_r5,val_retrieval_l2a_r10,val_retrieval_l2a_median_rank
0,4.238776367537829,2.668727001327467e-05,0.22289156626506024,0.14415260056707427,0.15679625733129224,0.4,0.075,0.12631578947368421,80,0.24015748031496062,0.6224489795918368,0.3465909090909091,98,0.1206896551724138,0.09090909090909091,0.1037037037037037,77,0.0,0.0,0.0,77,-0.03839302808046341,-0.039111632853746414,0.0007186047732830048,0.0060240961611270905,0.012048192322254181,0.03313253074884415,159.0,0.0030120480805635452,0.024096384644508362,0.03915662690997124,154.0
1,3.0239689739382998,5.284079462628384e-05,0.24096385542168675,0.14358039035284312,0.158382604470111,0.35294117647058826,0.075,0.12371134020618557,80,0.25925925925925924,0.7142857142857143,0.3804347826086957,98,0.10810810810810811,0.05194805194805195,0.07017543859649122,77,0.0,0.0,0.0,77,-0.036870259791612625,-0.03759675472974777,0.0007264949381351471,0.0060240961611270905,0.012048192322254181,0.03313253074884415,160.0,0.0030120480805635452,0.01807228848338127,0.03915662690997124,157.0
2,2.064337908005228,7.899431923929302e-05,0.2680722891566265,0.15385398882508147,0.17051877773393745,0.36363636363636365,0.1,0.1568627450980392,80,0.28113879003558717,0.8061224489795918,0.41688654353562005,98,0.10526315789473684,0.025974025974025976,0.041666666666666664,77,0.0,0.0,0.0,77,-0.03576390817761421,-0.03649558499455452,0.0007316768169403076,0.0060240961611270905,0.012048192322254181,0.0301204826682806,160.0,0.0030120480805635452,0.021084336563944817,0.04518072307109833,158.0
3,2.041167585217223,0.00010514784385230219,0.3253012048192771,0.2309149568537844,0.24552491987359237,0.391304347826087,0.1125,0.17475728155339806,80,0.32669322709163345,0.8367346938775511,0.4699140401146132,98,0.1,0.012987012987012988,0.022988505747126436,77,0.3333333333333333,0.2077922077922078,0.256,77,-0.03445303812623024,-0.03519393131136894,0.0007408931851387024,0.009036144241690636,0.012048192322254181,0.0301204826682806,160.0,0.0030120480805635452,0.01807228848338127,0.04518072307109833,155.0
4,2.015521141947532,0.00013076762306504588,0.3102409638554217,0.17328514212378476,0.19143860634578488,0.26666666666666666,0.05,0.08421052631578947,80,0.3161512027491409,0.9387755102040817,0.4730077120822622,98,0.0,0.0,0.0,77,0.2692307692307692,0.09090909090909091,0.13592233009708737,77,-0.03233818709850311,-0.03309301286935806,0.00075482577085495,0.009036144241690636,0.012048192322254181,0.027108434587717056,158.0,0.0030120480805635452,0.01807228848338127,0.03915662690997124,157.0
5,1.9883482821133671,0.0001306083513863315,0.3795180722891566,0.2599345826855007,0.27556056041294424,0.3333333333333333,0.0625,0.10526315789473684,80,0.3699186991869919,0.9285714285714286,0.5290697674418605,98,0.0,0.0,0.0,77,0.4225352112676056,0.38961038961038963,0.40540540540540543,77,-0.03126104921102524,-0.032035622745752335,0.0007745735347270966,0.009036144241690636,0.012048192322254181,0.0301204826682806,159.0,0.0030120480805635452,0.021084336563944817,0.03915662690997124,155.0
6,1.9664478083046115,0.00013013131230579724,0.4367469879518072,0.3413233240223464,0.3559942283098876,0.35135135135135137,0.1625,0.2222222222222222,80,0.4473684210526316,0.8673469387755102,0.5902777777777778,98,0.6666666666666666,0.025974025974025976,0.05,77,0.4411764705882353,0.5844155844155844,0.5027932960893855,77,-0.03021315485239029,-0.03101198934018612,0.0007988344877958298,0.009036144241690636,0.012048192322254181,0.024096384644508362,159.0,0.0030120480805635452,0.01807228848338127,0.04216867312788963,157.0
7,1.942535721525854,0.0001293388299098916,0.45481927710843373,0.36127213431841143,0.37693783592399654,0.38461538461538464,0.1875,0.25210084033613445,80,0.49122807017543857,0.8571428571428571,0.6245353159851301,98,0.2857142857142857,0.025974025974025976,0.047619047619047616,77,0.43478260869565216,0.6493506493506493,0.5208333333333334,77,-0.029812226071953773,-0.030643271282315254,0.0008310452103614807,0.009036144241690636,0.012048192322254181,0.024096384644508362,158.0,0.0030120480805635452,0.021084336563944817,0.04518072307109833,161.0
8,1.9139361576158174,0.00012823476509318736,0.47289156626506024,0.36561444759414297,0.3825944911780641,0.42857142857142855,0.15,0.2222222222222222,80,0.5084745762711864,0.9183673469387755,0.6545454545454545,98,0.2857142857142857,0.025974025974025976,0.047619047619047616,77,0.44166666666666665,0.6883116883116883,0.5380710659898477,77,-0.029719648882746696,-0.030589524656534195,0.0008698757737874985,0.009036144241690636,0.012048192322254181,0.024096384644508362,159.0,0.0030120480805635452,0.024096384644508362,0.04216867312788963,166.0
9,1.8876884032268912,0.00012682449674849132,0.4789156626506024,0.3922964595956544,0.4087594258840911,0.4166666666666667,0.25,0.3125,80,0.5503355704697986,0.8367346938775511,0.6639676113360324,98,0.18181818181818182,0.025974025974025976,0.045454545454545456,77,0.4435483870967742,0.7142857142857143,0.5472636815920398,77,-0.03026469051837921,-0.031182121485471725,0.000917430967092514,0.0030120480805635452,0.012048192322254181,0.024096384644508362,158.0,0.0030120480805635452,0.024096384644508362,0.03915662690997124,163.0
